S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,THE QUARTZ,COMPASSVALE BOW,Condominium,19,OCR,99 yrs lease commencing from 2005,Resale,1,1590000,-,1367,Strata,06 to 10,1163,Dec-21
2,THE PALETTE,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,670000,-,506,Strata,06 to 10,1324,Dec-21
3,AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 yrs lease commencing from 1996,Resale,1,885000,-,1098,Strata,01 to 05,806,Dec-21
4,D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,2000000,-,1765,Strata,01 to 05,1133,Dec-21
5,PALM ISLES,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2011,Resale,1,808000,-,807,Strata,01 to 05,1001,Dec-21
6,BARTLEY RESIDENCES,LORONG HOW SUN,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,1150000,-,797,Strata,06 to 10,1444,Dec-21
7,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1180000,-,893,Strata,06 to 10,1321,Dec-21
8,HEDGES PARK CONDOMINIUM,FLORA DRIVE,Condominium,17,OCR,99 yrs lease commencing from 2010,Resale,1,800000,-,797,Strata,06 to 10,1004,Dec-21
9,THE SANTORINI,TAMPINES STREET 86,Condominium,18,OCR,99 yrs lease commencing from 2013,Resale,1,1250000,-,1109,Strata,01 to 05,1127,Dec-21
10,THE DAFFODIL,UPPER EAST COAST ROAD,Apartment,16,OCR,Freehold,Resale,1,1000000,-,969,Strata,B1 to B5,1032,Dec-21
11,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1015000,-,904,Strata,01 to 05,1123,Dec-21
12,THE QUINN,BARTLEY ROAD,Apartment,19,OCR,Freehold,Resale,1,870000,-,560,Strata,01 to 05,1554,Dec-21
13,CARDIFF RESIDENCE,CARDIFF GROVE,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,605050,-,409,Strata,01 to 05,1479,Dec-21
14,D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,1350000,-,1130,Strata,01 to 05,1194,Dec-21
15,THE SPRINGBLOOM,SERANGOON AVENUE 3,Condominium,19,OCR,99 yrs lease commencing from 1995,Resale,1,1300000,-,1130,Strata,06 to 10,1150,Dec-21
16,LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1140000,-,840,Strata,06 to 10,1358,Dec-21
17,A TREASURE TROVE,PUNGGOL WALK,Condominium,19,OCR,99 yrs lease commencing from 2011,Resale,1,1292000,-,1044,Strata,01 to 05,1237,Dec-21
18,UBER 388,UPPER EAST COAST ROAD,Condominium,16,OCR,Freehold,Resale,1,2500000,-,1518,Strata,01 to 05,1647,Dec-21
19,MODENA,SIMEI STREET 4,Condominium,18,OCR,99 yrs lease commencing from 1997,Resale,1,1690000,-,1561,Strata,06 to 10,1083,Dec-21
20,SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 yrs lease commencing from 2011,Resale,1,2250000,-,1356,Strata,26 to 30,1659,Dec-21
21,WATERTOWN,PUNGGOL CENTRAL,Apartment,19,OCR,99 yrs lease commencing from 2011,Resale,1,1370000,-,915,Strata,11 to 15,1497,Dec-21
22,THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 yrs lease commencing from 2007,Resale,1,1448000,-,1346,Strata,16 to 20,1076,Dec-21
23,COCO PALMS,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1810000,-,1378,Strata,11 to 15,1314,Nov-21
24,RIO VISTA,UPPER SERANGOON VIEW,Condominium,19,OCR,99 yrs lease commencing from 2001,Resale,1,1370000,-,1378,Strata,01 to 05,994,Nov-21
25,WATERVIEW,TAMPINES AVENUE 1,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,1238000,-,1130,Strata,01 to 05,1095,Nov-21
26,D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2010,Resale,1,615000,-,484,Strata,01 to 05,1270,Nov-21
27,RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 yrs lease commencing from 2012,Resale,1,1618000,-,1475,Strata,16 to 20,1097,Nov-21
28,STARS OF KOVAN,UPPER SERANGOON ROAD,Apartment,19,OCR,99 yrs lease commencing from 2015,Resale,1,1250000,-,743,Strata,11 to 15,1683,Nov-21
29,PALM GROVE CONDOMINIUM,PALM GROVE AVENUE,Condominium,19,OCR,999 yrs lease commencing from 1878,Resale,1,2438000,-,1841,Strata,01 to 05,1325,Nov-21
30,LIVIA,PASIR RIS GROVE,Condominium,18,OCR,99 yrs lease commencing from 2008,Resale,1,1550000,-,1539,Strata,06 to 10,1007,Nov-21
31,COASTAL BREEZE RESIDENCES,LOYANG BESAR CLOSE,Condominium,17,OCR,99 yrs lease commencing from 2008,Resale,1,1244888,-,1335,Strata,01 to 05,933,Nov-21
